Company name,Domain name,Website URL,Industry,Number of employees,Annual revenue,City,State/Region,Description
Meridian Industrial Group,meridian-industrial.com,https://www.meridian-industrial.com,Industrial & Manufacturing,820,145000000,Detroit,Michigan,Mid-market manufacturer; 18 enterprise AEs joining Q2 2026; average ramp time 8-9 months to first deal — core pain; Salesforce migration in progress (completing May 2026); VP Sales Sarah Kowalski is champion; CRO Jennifer Park is economic buyer (not yet met).
Vantage Software,vantagesoftware.com,https://www.vantagesoftware.com,Software (B2B SaaS),340,62000000,Austin,Texas,B2B project management SaaS; CRO Marcus Reid joined 6 months ago; 40 SDRs with wide performance spread — top 20% generate 70% of pipeline; using Gong + Outreach + Salesforce; active POC proposal sent; Marcus is champion AND economic buyer; board review in June creates close urgency.
Cascadia Health Systems,cascadiahealth.com,https://www.cascadiahealth.com,Healthcare Technology,580,110000000,Portland,Oregon,Healthcare SaaS for hospitals and health systems; VP RevOps Elena Torres is champion; CFO Robert Chen is economic buyer (not yet engaged); referred by a Vantage Software contact; complex sale with long evaluation timeline; strong ICP fit.
Thornwood Capital,thornwoodcapital.com,https://www.thornwoodcapital.com,Financial Services,280,75000000,New York,New York,Private equity firm; champion Marcus Fielding (VP Sales Ops) driving deal to scale deal flow across portfolio companies; COO Diana Reyes is economic buyer — thin relationship (met once); deal in legal review for 26 days with no response; data residency and auto-renewal clauses unresolved; ROI deck never sent after Jan 28 call. DEAL AT RISK.
Keystone Manufacturing,keystonemfg.com,https://www.keystonemfg.com,Manufacturing,450,90000000,Pittsburgh,Pennsylvania,Industrial manufacturer; Director of Sales Operations Linda Osei is champion; VP Sales Greg Patterson is economic buyer; proposal sent 18 days ago; waiting on feedback; clean deal with no competitive threats surfaced; strong ICP fit.
Bluefield Analytics,bluefieldanalytics.com,https://www.bluefieldanalytics.com,Data & Analytics,610,115000000,Chicago,Illinois,Analytics platform company selling to enterprise data teams; VP Sales James Holt is champion/EB; IT security review in progress (Yuki Tanaka); timeline looks solid; no competitive threats identified; healthy deal momentum.
Summit Retail Group,summitretail.com,https://www.summitretail.com,Retail Technology,190,38000000,Denver,Colorado,Retail tech platform; VP Sales Carla Mendez is champion; referred by Cascadia Health contact; early stage discovery; small deal but strategic as potential reference in retail vertical; next call not yet scheduled.
Ironclad Systems,ironcladsystems.com,https://www.ironcladsystems.com,Enterprise Software,750,130000000,Atlanta,Georgia,Enterprise operations software; CRO Kevin Briggs is champion and economic buyer; contract out for signature; close date Friday March 20; champion following up internally; clean path to close.
Northgate Logistics,northgatelogistics.com,https://www.northgatelogistics.com,Logistics & Supply Chain,520,98000000,Dallas,Texas,Logistics and supply chain SaaS; VP Sales Diane Foster is champion; CFO Brian Shah is economic buyer; proposal sent 21 days ago; close date March 15 (PAST); no activity in 16 days; deal at serious risk of going cold or slipping to Q2. NEEDS IMMEDIATE RE-ENGAGEMENT.
Harlow Financial,harlowfinancial.com,https://www.harlowfinancial.com,Financial Services,310,85000000,Boston,Massachusetts,Financial services technology; VP Sales Tom Greer is champion; General Counsel Kyla Owens in legal review; legal markup received; internal approval pending; healthy negotiation momentum; April 5 close date realistic.
Clearpath Solutions,clearpathsolutions.com,https://www.clearpathsolutions.com,Professional Services,165,42000000,Minneapolis,Minnesota,Management consulting and professional services firm; VP Sales Natasha Burns is champion; early discovery stage; qualified on ICP; no next call scheduled after initial discovery call — momentum at risk.
Vesta Technologies,vestatechnologies.com,https://www.vestatechnologies.com,Cloud Infrastructure,430,88000000,Seattle,Washington,Cloud infrastructure SaaS; CRO Sam Ortega is champion and economic buyer; DocuSign sent; strong internal champion following up; March 28 close date on track.
Pinnacle HR Tech,pinnaclehrtech.com,https://www.pinnaclehrtech.com,Human Resources Technology,395,72000000,San Francisco,California,HR tech platform for mid-market companies; VP Sales Rachel Kim was champion; CLOSED WON at $115K ARR; full deployment underway; strong reference customer for HR vertical and coaching use case.
DataFlow Systems,dataflowsystems.com,https://www.dataflowsystems.com,Data Integration,560,105000000,Boston,Massachusetts,Data integration and pipeline orchestration platform; VP Sales Andrew Clarke was champion; CLOSED LOST at $68K — lost to Gong; Gong won on brand recognition and existing integration with their Snowflake stack; key loss to analyze in /retro exercise.
